seed,observer,epoch,train_reward,val_reward,val_accuracy,replay_accepted,replay_gain
2001,O1,1,0.52,0.515,0.7575,0,0.0
2001,O1,2,0.5093333333333333,0.56,0.78,0,0.0
2001,O1,3,0.5293333333333333,0.515,0.7575,0,0.0
2001,O1,4,0.508,0.505,0.7525,0,0.0
2001,O1,5,0.5266666666666666,0.515,0.7575,0,0.0
2001,O1,6,0.544,0.515,0.7575,0,0.0
2001,O1,7,0.536,0.525,0.7625,0,0.0
2001,O1,8,0.5333333333333333,0.54,0.77,0,0.0
2001,O1,9,0.5226666666666666,0.515,0.7575,0,0.0
2001,O1,10,0.5413333333333333,0.51,0.755,0,0.0
2001,O1,11,0.5386666666666666,0.51,0.755,0,0.0
2001,O1,12,0.5373333333333333,0.51,0.755,0,0.0
2001,O1,13,0.5373333333333333,0.52,0.76,0,0.0
2001,O1,14,0.5333333333333333,0.53,0.765,0,0.0
2001,O1,15,0.54,0.525,0.7625,0,0.0
2001,O2,1,0.5106666666666667,0.545,0.7725,0,0.0
2001,O2,2,0.5226666666666666,0.525,0.7625,0,0.0
2001,O2,3,0.5306666666666666,0.535,0.7675,0,0.0
2001,O2,4,0.5186666666666667,0.53,0.765,0,0.0
2001,O2,5,0.5213333333333333,0.54,0.77,0,0.0
2001,O2,6,0.532,0.53,0.765,0,0.0
2001,O2,7,0.532,0.53,0.765,0,0.0
2001,O2,8,0.5293333333333333,0.53,0.765,0,0.0
2001,O2,9,0.532,0.55,0.775,0,0.0
2001,O2,10,0.5293333333333333,0.535,0.7675,0,0.0
2001,O2,11,0.5386666666666666,0.54,0.77,0,0.0
2001,O2,12,0.5293333333333333,0.54,0.77,0,0.0
2001,O2,13,0.5306666666666666,0.54,0.77,0,0.0
2001,O2,14,0.5306666666666666,0.54,0.77,0,0.0
2001,O2,15,0.536,0.55,0.775,0,0.0
2001,O3,1,0.5133333333333333,0.54,0.77,0,0.0
2001,O3,2,0.512,0.545,0.7725,0,0.0
2001,O3,3,0.5213333333333333,0.555,0.7775,0,0.0
2001,O3,4,0.52,0.54,0.77,0,0.0
2001,O3,5,0.52,0.525,0.7625,0,0.0
2001,O3,6,0.5146666666666667,0.535,0.7675,0,0.0
