seed,rho,observer,accuracy,reward,OWGE_plus,I_ret,I_adapter_gain,lora_norm,relative_processing_cost,peripheral_cmi
7001,0.0,O3,0.6828571428571428,0.3657142857142857,-0.0008248943970117506,0.0,0.0,0.6682451963424683,1.52,0.2537306549601503
7001,0.05,O3,0.6285714285714286,0.2571428571428571,0.0012088497966277572,0.0,0.0,0.684468150138855,1.5699999999999998,0.2537306549601503
7001,0.1,O3,0.5228571428571429,0.045714285714285714,0.0012539476504127036,0.0,0.0,0.8866531848907471,1.62,0.2537306549601503
7001,0.2,O3,0.6285714285714286,0.2571428571428571,0.00138821220276008,0.0,0.0,1.6728335618972778,1.7199999999999998,0.2537306549601503
7001,0.35,O3,0.6457142857142857,0.2914285714285714,0.0015557611762900218,0.0,0.0,0.7126398086547852,1.87,0.2537306549601503
7001,0.5,O3,0.68,0.36,0.0017785754071583905,0.0,0.0,0.6478298306465149,2.02,0.2537306549601503
7001,0.75,O3,0.6714285714285714,0.34285714285714286,0.0018781099437942157,0.0,0.0,1.4528601169586182,2.27,0.2537306549601503
7001,1.0,O3,0.6171428571428571,0.2342857142857143,0.00215639697847774,0.0,0.0,0.9380088448524475,2.52,0.2537306549601503
7109,0.0,O3,0.6342857142857142,0.26857142857142857,0.0010990664229340525,0.0,0.0,0.6323542594909668,1.52,0.26714812896584594
7109,0.05,O3,0.5342857142857143,0.06857142857142857,0.0011156046854023704,0.0,0.0,1.038468360900879,1.5699999999999998,0.26714812896584594
7109,0.1,O3,0.6057142857142858,0.21142857142857144,0.001199733723185172,0.0,0.0,0.8331177830696106,1.62,0.26714812896584594
7109,0.2,O3,0.6657142857142857,0.3314285714285714,0.0014860085462945418,0.0,0.03305785123966949,0.8286518454551697,1.7199999999999998,0.26714812896584594
7109,0.35,O3,0.56,0.12,0.0013659472154481463,0.0,0.0,0.6226306557655334,1.87,0.26714812896584594
7109,0.5,O3,0.6342857142857142,0.26857142857142857,0.0016131245068822949,0.0,0.0,0.8540464639663696,2.02,0.26714812896584594
7109,0.75,O3,0.6485714285714286,0.29714285714285715,0.0017828185459202433,0.0,0.0,1.3653544187545776,2.27,0.26714812896584594
7109,1.0,O3,0.6514285714285715,0.3028571428571429,0.001881614142503445,0.0,0.0,0.8710488677024841,2.52,0.26714812896584594
7211,0.0,O3,0.6828571428571428,0.3657142857142857,0.0012555382600208179,0.0,0.026315789473684185,0.7165147662162781,1.52,0.2721876121428225
7211,0.05,O3,0.6885714285714286,0.37714285714285717,0.0013777491565859945,0.0,0.0438596491228072,1.3439515829086304,1.5699999999999998,0.2721876121428225
7211,0.1,O3,0.68,0.36,0.0013997515671254695,0.0,0.017543859649123018,1.1969295740127563,1.62,0.2721876121428225
7211,0.2,O3,0.6828571428571428,0.3657142857142857,0.0015530144040490138,0.0,0.026315789473684185,0.8998029232025146,1.7199999999999998,0.2721876121428225
7211,0.35,O3,0.7171428571428572,0.4342857142857143,0.001965188494009216,0.0,0.14655172413793113,0.8053035140037537,1.87,0.2721876121428225
