seed,observer,global_epoch,phase,epoch,train_reward,val_accuracy,val_reward,active_hidden_units,active_embedding_units,retrieval_label_precision,embed_lora_norm,embed_effective_rank,embed_significant_sv,embed_changed_fraction,embed_positive_fraction,embed_negative_fraction,policy_lora_norm,policy_effective_rank,policy_significant_sv,policy_changed_fraction,policy_positive_fraction,policy_negative_fraction,total_lora_norm,memory_records,memory_edges_directed,memory_dream_records,memory_dream_fraction,dream_candidates_cum,dream_valid_cum,dream_00_cum,dream_01_cum,dream_10_cum,dream_11_cum,gradient_updates_this_epoch
12001,O1,1,A,1,1.0,1.0,1.0,32.0,24.436363636363637,0.0,1.0298978090286255,1.932038426399231,2.0,0.8369140625,0.419921875,0.4169921875,0.2945641279220581,1.0000089406967163,1.0,0.90625,0.453125,0.453125,1.071194437299058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
12001,O1,2,A,2,1.0,1.0,1.0,32.0,26.754545454545454,0.0,1.9854294061660767,1.7457486391067505,2.0,0.9404296875,0.4677734375,0.47265625,0.7143275737762451,1.0000274181365967,1.0,1.0,0.5,0.5,2.1100222296284077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
12001,O1,3,A,3,1.0,1.0,1.0,32.0,26.263636363636362,0.0,2.3429441452026367,1.7176213264465332,2.0,0.9375,0.46484375,0.47265625,0.9226997494697571,1.00004243850708,1.0,1.0,0.5,0.5,2.5180869911920967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
12001,O1,4,A,4,1.0,1.0,1.0,32.0,26.045454545454547,0.0,2.447319984436035,1.7141538858413696,2.0,0.93359375,0.4609375,0.47265625,0.9969667196273804,1.0000708103179932,1.0,0.96875,0.484375,0.484375,2.642596780870017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
12001,O1,5,A,5,1.0,1.0,1.0,32.0,26.28181818181818,0.0,2.4757373332977295,1.7163479328155518,2.0,0.931640625,0.462890625,0.46875,1.0262868404388428,1.0003373622894287,1.0,0.96875,0.484375,0.484375,2.680026123443967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
12001,O1,6,B,1,0.3014705882352941,0.6318181818181818,0.2636363636363636,31.53181818181818,29.722727272727273,0.0,4.0703959465026855,1.4954335689544678,2.0,0.9423828125,0.4755859375,0.466796875,0.26219940185546875,1.0009390115737915,1.0,0.90625,0.453125,0.453125,4.07883214751954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
12001,O1,7,B,2,0.2426470588235294,0.6318181818181818,0.2636363636363636,22.381818181818183,28.681818181818183,0.0,9.042022705078125,1.2881379127502441,1.0,0.8642578125,0.43359375,0.4306640625,0.035520121455192566,1.0367796421051025,1.0,0.875,0.4375,0.4375,9.042092472330534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
12001,O1,8,B,3,0.2647058823529412,0.6318181818181818,0.2636363636363636,17.76818181818182,30.936363636363637,0.0,15.445347785949707,1.19007408618927,1.0,0.904296875,0.447265625,0.45703125,0.09827213734388351,1.0228289365768433,1.0,0.875,0.4375,0.4375,15.445660414560448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
12001,O1,9,B,4,0.3125,0.6318181818181818,0.2636363636363636,17.76818181818182,30.46818181818182,0.0,18.653467178344727,1.1695150136947632,1.0,0.9052734375,0.4541015625,0.451171875,0.5227927565574646,1.0050594806671143,1.0,0.96875,0.484375,0.484375,18.66079178491344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
12001,O1,10,B,5,0.3125,0.509090909090909,0.01818181818181818,17.3,30.46818181818182,0.0,19.54247283935547,1.1661022901535034,1.0,0.8974609375,0.44921875,0.4482421875,1.3347052335739136,1.0022265911102295,1.0,1.0,0.5,0.5,19.587998436223028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
12001,O1,11,B,6,0.12867647058823528,0.6318181818181818,0.2636363636363636,17.3,30.46818181818182,0.0,19.703752517700195,1.1657116413116455,1.0,0.900390625,0.4501953125,0.4501953125,1.0854965448379517,1.0026683807373047,1.0,0.90625,0.453125,0.453125,19.733630330672355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
